인증등급,시군구,시설명,인증대상,용도구분,lat,lon
최우수,성북구,성북구청사,건축물,업무시설,37.5858550036394,127.021366761072
최우수,중구,동대문 디자인 플라자 & 파크,건축물,문화 및 집회시설,37.56873419281239,127.00766659298503
최우수,종로구,광화문광장,공원,공원,37.572602860810186,126.97691639601517
최우수,중구,서울특별시 청사,건축물,업무시설,37.57494148278842,126.97514065344677
최우수,용산구,한글박물관,건축물,문화 및 집회시설,37.5211853774917,126.980977473728
우수,종로구,대한민국 역사박물관,건축물,문화 및 집회시설,37.573986969296435,126.97785780450153
최우수,종로구,국립현대미술관(서울관),건축물,문화 및 집회시설,37.578627489574416,126.9800979573524
우수,동대문구,동대문 비스타 오피스텔,건축물,업무시설,37.562990424663,127.033215201662
최우수,양천구,신월종합사회복지관,건축물,노유자시설,37.520032308713,126.847365173818
우수,종로구,대한민국역사박물관,건축물,문화 및 집회시설,37.573986969296435,126.97785780450153
최우수,노원구,시립노원시각장애인복지관,건축물,노유자시설,37.6420272537197,127.056516319565
우수,송파구,테니스경기장,건축물,문화 및 집회시설,35.3040787958372,126.767505518467
우수,송파구,SK핸드볼 경기장,건축물,문화 및 집회시설,37.5174000262378,127.126314207965
일반,강북구,연이빌딩,건축물,업무시설,37.5574410113454,126.930998632568
최우수,중구,서울특별시청사,건축물,업무시설,37.57494148278842,126.97514065344677
최우수,성북구,행복플러스작업장,건축물,노유자시설,37.6049650673805,127.046367265051
우수,영등포구,여의도공원,공원,공원,37.5261349157513,126.92234821796
최우수,송파구,서울동부지방법원청사,건축물,업무시설,37.4951096463462,127.122440909315
우수,송파구,올림픽 홀,건축물,문화 및 집회시설,37.51474165901363,127.12753246584705
우수,송파구,역도 경기장,건축물,문화 및 집회시설,34.98097791239393,128.31198458256912
최우수,종로구,국립현대미술관,건축물,문화 및 집회시설,37.5659384342432,126.973740099183
일반,영등포구,이룸센터,건축물,노유자시설,37.5267805904068,126.91784497435
최우수,노원구,월계동 제2 구민체육센터,건축물,운동시설,37.62665728039086,127.0547374929045
최우수,노원구,서울과학관,건축물,문화 및 집회시설,37.58193577739816,126.99703380777856
우수,동대문구,동대문비스타오피스텔,건축물,업무시설,37.562990424663,127.033215201662
우수,영등포구,국회의원회관,건축물,업무시설,37.529470279371,126.91432129227
우수,광진구,자양공공힐링센터,건축물,업무시설,37.5402953922317,127.065156553392
우수,성동구,성동소방서,건축물,업무시설,37.5537046468307,127.03940378172955
최우수,용산구,국립한글박물관,건축물,문화 및 집회시설,37.5211853774917,126.980977473728
우수,서초구,서울양재동우체국,건축물,제1종 근린생활시설,37.48471807542557,127.03776423794292
우수,성북구,정릉동 청소년 문화의 집,건축물,수련시설,37.6155857201317,127.008512955427
우수,영등포구,광복회관,건축물,업무시설,37.52708087581557,126.91691697526149
일반,성북구,서울돈암동우체국,건축물,업무시설,37.59019237011272,127.01570670358826
