아파트명,세대수,시군구,lon,lat
"길음뉴타운푸르지오아파트2,3단지",2068,성북구,127.0162373,37.611816
시흥벽산1단지,1772,금천구,126.9196921,37.4511267
래미안장안2차,1786,동대문구,127.0754092,37.5739731
중계주공2단지,1800,노원구,127.0779964,37.6579558
SH성산아파트,1807,마포구,126.9014624,37.5643113
전농SK,1830,동대문구,127.0595598,37.5764855
"잠실우성1,2,3차",1842,송파구,127.073165,37.5068615
관악드림타운제2,1843,관악구,126.9516251,37.4898158
목동5단지,1848,양천구,126.8829057,37.5332441
목동12단지,1860,양천구,126.8623246,37.5132319
하계 6단지 장미아파트,1880,노원구,127.0678724,37.6337068
중계경남롯데상아,1890,노원구,127.0626385,37.638983
압구정신현대,1924,강남구,127.0244949,37.5262291
상계주공11단지,1944,노원구,127.0556395,37.6657377
정릉풍림아이원,1971,성북구,127.0073229,37.6185895
하계극동건영벽산,1980,노원구,127.0648499,37.6355286
상계17단지,1980,도봉구,127.0533313,37.6441576
창동동아청솔,1981,도봉구,127.048141,37.6572555
개봉한마을,1983,구로구,126.8624239,37.4952761
가양4단지,1998,강서구,126.8510376,37.5650258
석관두산,1998,성북구,127.0684003,37.6129055
월계주공1단지,2298,노원구,127.0517313,37.6265297
"봉천두산1,2단지",2001,관악구,126.9431459,37.4848788
월계주공2단지,2002,노원구,127.0517313,37.6265297
상계주공2단지,2029,노원구,127.0600209,37.6503337
목동9단지,2030,양천구,126.8613466,37.5187044
신당남산타운임대,2034,중구,127.0072969,37.5467804
창동북한산아이파크,2061,도봉구,127.0437366,37.6579079
상계주공1단지,2064,노원구,127.0590541,37.646847
가락쌍용1차,2064,송파구,127.1285511,37.4954185
상계주공15단지,2100,노원구,127.055611,37.6683012
관악푸르지오아파트,2104,관악구,126.9608583,37.4873089
행당한진타운,2123,성동구,127.0292269,37.5560348
구로주공,2126,구로구,126.8755006,37.4935926
관악현대,2134,관악구,126.9583526,37.4920393
상계주공4단지,2136,노원구,127.0634916,37.6504505
화곡푸르지오,2176,강서구,126.8313603,37.5446962
장안현대홈타운,2182,동대문구,127.0745688,37.5698432
월곡두산위브아파트,2197,성북구,127.0383738,37.6070339
신월시영아파트,2256,양천구,126.8359615,37.5176143
상계주공14단지,2265,노원구,127.0594091,37.6688541
목동13단지,2280,양천구,126.8650104,37.514173
"신도림대림1,2차",2298,구로구,126.880595,37.5058413
중계주공5단지,2328,노원구,127.0766362,37.6532581
상계주공16단지,2392,노원구,127.0553293,37.6687238
행당대림,2399,성동구,127.0271171,37.557906
명일삼익그린2차,2400,강동구,127.148467,37.5532919
가양5단지,2412,강서구,126.8548294,37.5636713
개봉동현대아파트,2412,구로구,126.858502,37.4920888
중계무지개아파트,2433,노원구,127.0665685,37.6427243
대치미도맨션,2436,강남구,127.067338,37.4933854
영등포푸르지오,2462,영등포구,126.9045485,37.5120598
우장산아이파크이편한세상,2517,강서구,126.8404024,37.5488035
목동7단지,2550,양천구,126.869144,37.5290303
수서주공,2565,강남구,127.0997555,37.4903395
중계시영3단지목련,2619,노원구,127.069028,37.6465111
상계주공7단지,2634,노원구,127.060964,37.6580044
"잠원한신4지구(8차~11차,17차)",2640,서초구,127.0123844,37.5116554
상계주공6단지,2646,노원구,127.0630823,37.6534408
상계주공10단지,2654,노원구,127.0538808,37.6634281
도봉한신,2678,도봉구,127.0480587,37.6857192
잠실레이크팰리스,2678,송파구,127.0927735,37.5086223
관악벽산타운5단지,2810,금천구,126.9187672,37.4482739
상계주공9단지,2830,노원구,127.059948,37.662167
창동주공3단지,2856,도봉구,127.045837,37.6500348
암사선사현대,2938,강동구,127.1266968,37.5522571
신정양천,2995,양천구,126.8632848,37.5099235
도곡렉슬,3002,강남구,127.0489846,37.4930287
월계그랑빌,3003,노원구,127.0685797,37.6178054
목동14단지,3100,양천구,126.8713633,37.5151892
신당남산타운(분양),3116,중구,127.0072969,37.5467804
압구정현대아파트,3130,강남구,127.0280917,37.5331972
방학신동아1단지,3169,도봉구,127.0286105,37.6606886
강동롯데캐슬퍼스트아파트,3226,강동구,127.1430468,37.556623
상계보람,3315,노원구,127.0644118,37.6627915
신천장미1차2차,3402,송파구,127.0994131,37.519587
반포자이,3410,서초구,127.0135922,37.507538
중계그린,3481,노원구,127.0641156,37.6420264
관악드림타운,3544,관악구,126.9506808,37.4898239
잠실동트리지움,3696,송파구,127.0895562,37.5083905
성산시영아파트,3710,마포구,126.9028201,37.5684652
돈암한신한진아파트,3929,성북구,127.0102405,37.5949161
월계시영고층,3930,노원구,127.0657785,37.6239862
반포본동아파트,3610,서초구,126.9869329,37.5030465
은마,4424,강남구,127.0650701,37.4977415
올림픽훼밀리타운,4494,송파구,127.1143761,37.4885215
개포주공1단지,5040,강남구,127.0585214,37.4800022
올림픽선수기자촌아파트,5540,송파구,127.1361039,37.5179148
잠실리센츠,5563,송파구,127.088451,37.5127515
잠실엘스아파트,5678,송파구,127.088451,37.5127515
잠실파크리오,6864,송파구,127.1093216,37.5212508
잠실5단지아파트,3930,송파구,127.093004,37.5143691
목동1단지,1882,양천구,126.880561,37.5392044
우장산힐스테이트,2198,강서구,126.8414673,37.5557622
관악산휴먼시아,2810,관악구,126.9212183,37.4616692
관악벽산블루밍,2105,관악구,126.9454566,37.4884554
SK북한산시티아파트,3830,강북구,127.0123459,37.6181847
상계주공3단지,2213,노원구,127.0568216,37.651102
수서1-1단지아파트,2214,강남구,127.0909823,37.4927536
한가람아파트,2036,용산구,126.9735558,37.5213784
목동10단지,2160,양천구,126.8587497,37.5165011
래미안퍼스티지,2444,서초구,126.9997222,37.502999
중계주공9단지,2634,노원구,127.0742657,37.6430931
가양7단지,1998,강서구,126.8616635,37.5621998
개포주공4단지,2840,강남구,127.0731699,37.4863102
서초삼풍,2390,서초구,127.0160708,37.4991876
중계4단지목화,1979,노원구,127.0696523,37.6435986
고덕리엔파크3단지,2283,강동구,127.1747855,37.5513683
DMC래미안e편한세상,3293,서대문구,126.9109013,37.572773
송파꿈에그린아파트,1810,송파구,127.1393766,37.4762215
신내 데시앙포레,1896,중랑구,127.1095902,37.6166178
마포래미안푸르지오,3885,마포구,126.9542913,37.552355
강서힐스테이트아파트,2603,강서구,126.8368532,37.5460793
래미안위브,2652,동대문구,127.052370031,37.57285189
래미안크레시티,2397,동대문구,127.049688319,37.57552441
DMC파크뷰자이아파트,4300,서대문구,126.922655933,37.573897103
센트라스,2529,성동구,127.028445899926,37.5663379455023
래미안힐스테이트 고덕,3658,강동구,127.150901775,37.559120831
옥수파크힐스아파트,1976,성동구,127.012736958,37.547818816
위례포레샤인아파트,2200,송파구,127.134102732,37.476533455
e편한세상신촌아파트,1910,서대문구,126.954974315,37.558298572
헬리오시티아파트,9510,송파구,127.10249742,37.497609869
래미안블레스티지,1957,강남구,127.06415056,37.480048959
래미안길음센터피스,2352,성북구,127.027970717,37.609757966
래미안솔베뉴,1900,강동구,127.144621707,37.552949018
고덕 그라시움 아파트,4932,강동구,127.159176172,37.556179683
고덕롯데캐슬베네루체,1859,강동구,127.167612,37.549416
고덕 아르테온 아파트,4066,강동구,127.1685346,37.5550952
목동 센트럴 아이파크위브 아파트,3045,양천구,126.843516,37.516804
녹번역e편한세상캐슬,2569,은평구,126.932044,37.599269
개포래미안포레스트,2296,강남구,127.054031,37.47848
고덕자이 아파트,1824,강동구,127.1708,37.552393
디에이치 자이 개포,1996,강남구,127.075083,37.490791
롯데캐슬클라시아,2029,성북구,127.0252576,37.6089258
송파 시그니처 롯데캐슬아파트,1945,송파구,127.146583,37.4958575
흑석자이,1772,동작구,126.9585023,37.5024601
개포자이프레지던스,3375,강남구,127.0716098,37.4851097
래미안원베일리,2990,서초구,126.9981867,37.5068044
디에이치퍼스티어아이파크,6702,강남구,127.0578480,37.4802872
올림픽파크포레온,12032,강동구,127.138787,37.523857
