아파트명,세대수,시군구,lon,lat
금호두산,1267,성동구,127.0164657,37.5506428
돈암삼성,1278,성북구,127.0225984,37.5983263
대상타운현대,1278,도봉구,127.0478802,37.6655235
월계동현대,1281,노원구,127.0625936,37.6185533
구로두산,1285,구로구,126.8886871,37.4893718
벽산6,1288,금천구,126.916643,37.4494632
독립문극동,1300,서대문구,126.9567073,37.5720665
문래자이아파트,1302,영등포구,126.896786,37.5160389
상계은빛2단지,1313,노원구,127.0535108,37.679964
신내9단지,1315,중랑구,127.0944007,37.6122193
오금현대아파트,1316,송파구,127.1257434,37.5048491
문정시영,1316,송파구,127.1354526,37.490605
이문쌍용,1318,동대문구,127.0685035,37.5997847
하계현대우성,1320,노원구,127.0663518,37.6367077
고덕주공9단지,1320,강동구,127.1498653,37.54796
중계주공3단지,1455,노원구,127.0756379,37.6566663
서빙고신동아,1326,용산구,126.9874041,37.5180956
신대방우성1차,1335,동작구,126.9116108,37.4922794
미성아파트(불광동),1340,은평구,126.9283299,37.6149349
삼각산아이원,1344,강북구,127.0181315,37.615229
목동8단지,1352,양천구,126.8683514,37.5218999
창동쌍용,1352,도봉구,127.0481785,37.6598502
잠실아시아선수촌,1356,송파구,127.0767086,37.5074435
면목2동한신아파트,1362,중랑구,127.0754781,37.5875092
개봉한진,1371,구로구,126.8514274,37.4851033
방화5단지,1372,강서구,126.8103825,37.5770617
래미안월곡,1372,성북구,127.0368836,37.61044
길음동부센트레빌,1377,성북구,127.0242907,37.610374
이문e-편한세상,1378,동대문구,127.0648775,37.6047456
목동4단지,1382,양천구,126.8711975,37.5320037
상계은빛1단지,1391,노원구,127.0539861,37.6815501
당산삼성래미안,1391,영등포구,126.902986,37.5320908
공릉1단지,1395,노원구,127.0701578,37.6301175
수서까치마을,1403,강남구,127.0877692,37.4847039
서울숲한신더휴아파트,1410,성동구,127.0366365,37.5549104
마곡수명산파크1단지,1421,강서구,126.8304907,37.554396
마포태영아파트,1424,마포구,126.9425711,37.5447358
번동1단지주공아파트,1430,강북구,127.0472779,37.6247516
신내10단지,1432,중랑구,127.0946105,37.6092763
수유벽산,1454,강북구,127.017972,37.6419753
신림푸르지오,1456,관악구,126.9104854,37.4791307
도원삼성래미안,1458,용산구,126.9554472,37.5380983
가양6단지,1476,강서구,126.8593109,37.5632285
가산두산위브,1495,금천구,126.892642,37.4746215
홍은벽산,1509,서대문구,126.9455393,37.5954557
목동한신청구,1512,양천구,126.8816546,37.5414628
롯데캐슬베네치아,1534,중구,127.0222215,37.5711004
쌍문삼익,1541,도봉구,127.0367266,37.657078
중화한신아파트,1544,중랑구,127.0825323,37.5973448
사당극동,1550,동작구,126.9764363,37.4886826
가양3단지(강변),1556,강서구,126.8556837,37.5652229
방화2단지,1563,강서구,126.8195884,37.5746696
신반포한신2차,1572,서초구,127.0010246,37.5092254
여의도시범아파트,1584,영등포구,126.9385984,37.5205064
목동3단지,1588,양천구,126.8714975,37.5341913
상계벽산,1590,노원구,127.072822,37.6614862
구의현대프라임,1592,광진구,127.0974527,37.5372144
목동11단지,1595,양천구,126.859448,37.511398
관악우성아파트,1597,관악구,126.9592709,37.4853872
신당약수하이츠,1598,중구,127.015698,37.5549165
공릉풍림아이원,1601,노원구,127.0667987,37.6290609
이편한세상 길음뉴타운4단지,1605,성북구,127.0196483,37.612084
구의현대2단지,1606,광진구,127.0961406,37.5394441
프라이어팰리스,1622,강동구,127.1395194,37.5535297
SH공사대치1단지,1623,강남구,127.07521,37.4941776
가양2단지,1624,강서구,126.8480726,37.5702365
대방대림,1628,동작구,126.9246341,37.507338
"길음뉴타운푸르지오아파트2,3단지",2068,성북구,127.0162373,37.611816
"쌍문한양2,3,4차",1635,도봉구,127.032096,37.657183
등촌IPARK,1653,강서구,126.8602577,37.5439103
래미안상도3차,1656,동작구,126.9547179,37.4992699
창동삼성,1668,도봉구,127.0485546,37.6490829
등촌주공1단지,1670,강서구,126.8425169,37.5649371
공릉태강,1676,노원구,127.0832445,37.6236377
문정래미안,1696,송파구,127.130255,37.4908501
신동아리버파크,1696,동작구,126.9439718,37.5075289
금호벽산,1707,성동구,127.0271242,37.551862
창동주공4단지,1710,도봉구,127.0472453,37.6454834
서원아파트,1716,도봉구,127.04809,37.6734511
상계주공12단지,1739,노원구,127.0593426,37.6661694
개포대치2단지,1753,강남구,127.0755080,37.4946695
창동주공19단지,1764,도봉구,127.0531884,37.6494912
시흥벽산1단지,1772,금천구,126.9196921,37.4511267
래미안장안2차,1786,동대문구,127.0754092,37.5739731
중계주공2단지,1800,노원구,127.0779964,37.6579558
SH성산아파트,1807,마포구,126.9014624,37.5643113
전농SK,1830,동대문구,127.0595598,37.5764855
"잠실우성1,2,3차",1842,송파구,127.073165,37.5068615
관악드림타운제2,1843,관악구,126.9516251,37.4898158
목동5단지,1848,양천구,126.8829057,37.5332441
목동12단지,1860,양천구,126.8623246,37.5132319
하계 6단지 장미아파트,1880,노원구,127.0678724,37.6337068
중계경남롯데상아,1890,노원구,127.0626385,37.638983
압구정신현대,1924,강남구,127.0244949,37.5262291
상계주공11단지,1944,노원구,127.0556395,37.6657377
하계학여울청구,1476,노원구,127.0616188,37.6357596
정릉풍림아이원,1971,성북구,127.0073229,37.6185895
하계극동건영벽산,1980,노원구,127.0648499,37.6355286
상계17단지,1980,도봉구,127.0533313,37.6441576
창동동아청솔,1981,도봉구,127.048141,37.6572555
개봉한마을,1983,구로구,126.8624239,37.4952761
가양4단지,1998,강서구,126.8510376,37.5650258
석관두산,1998,성북구,127.0684003,37.6129055
월계주공1단지,2298,노원구,127.0517313,37.6265297
"봉천두산1,2단지",2001,관악구,126.9431459,37.4848788
월계주공2단지,2002,노원구,127.0517313,37.6265297
