시설명,시설코드,시설종류명(시설유형),시군구명,시설주소,정제주소,lat,lon
코끼리아동청소년발달센터,C0134568262,(장애인복지시설) 장애인재활치료시설,구로구,"서울특별시 구로구 경인로 619-3, 208호 (신도림동, 신도림3차 푸르지오)","서울특별시 구로구 경인로 619-3, 208호",37.506883854568,126.884036662859
해피죤아동발달지원센터,C0136970233,(장애인복지시설) 장애인재활치료시설,강동구,"서울특별시 강동구 상암로 195, 501호 (명일동, 에이플러스빌딩)","서울특별시 강동구 상암로 195, 501호",37.5466249508301,127.144190381388
우리아이학습심리센터,C0138316222,(장애인복지시설) 장애인재활치료시설,영등포구,"서울특별시 영등포구 선유로 76, 5층 501호 (동국메뜨리앙)","서울특별시 영등포구 선유로 76, 5층 501호",37.5206488765446,126.889905898442
도봉아동심리발달센터,C0139849254,(장애인복지시설) 장애인재활치료시설,도봉구,"서울특별시 도봉구 도봉로 508, 5층 (창동, 우덕빌딩)","서울특별시 도봉구 도봉로 508, 5층",37.6506650155927,127.036275033807
구로아동발달심리상담센터,C0140078772,(장애인복지시설) 장애인재활치료시설,구로구,"서울특별시 구로구 경인로 240, 102동 104105호 (오류동, 예성라온팰리스)","서울특별시 구로구 경인로 240, 102동 104105호",37.4974753918896,126.847564779889
세음심리발달연구소,C0149221092,(장애인복지시설) 장애인재활치료시설,구로구,"서울특별시 구로구 천왕로 106, 3층 304호 (오류동, 골드프라자)","서울특별시 구로구 천왕로 106, 3층 304호",37.4860407392631,126.838559499205
에파타 언어청각교육원,C0150024793,(장애인복지시설) 장애인재활치료시설,도봉구,"서울특별시 도봉구 마들로 650, 6층 607호 (방학동, 도봉월드상가)","서울특별시 도봉구 마들로 650, 6층 607호",37.6680283468222,127.047064658894
프리윌아동청소년발달센터,C0151233292,(장애인복지시설) 장애인재활치료시설,송파구,"서울특별시 송파구 새말로 167, 2층 (문정동, 이주빌딩)","서울특별시 송파구 새말로 167, 2층",37.485453640206,127.131336912625
마미정 감각통합상담연구소,C0170596586,(장애인복지시설) 장애인재활치료시설,중랑구,"서울특별시 중랑구 봉화산로 194, 904 (신내동, 신아타운 )","서울특별시 중랑구 봉화산로 194, 904",37.6064526315197,127.094707041869
구로아동청소년심리상담센터,C0181882809,(장애인복지시설) 장애인재활치료시설,구로구,"서울특별시 구로구 경인로 240, 101동 101호 (오류동, 예성라온팰리스)","서울특별시 구로구 경인로 240, 101동 101호",37.4974753918896,126.847564779889
헤아림아동발달센터,C0183631892,(장애인복지시설) 장애인재활치료시설,성동구,"서울특별시 성동구 고산자로 323, 3층 (마장동)","서울특별시 성동구 고산자로 323, 3층",37.5685582893678,127.036923732087
강서점자도서관,C0290236368,(장애인복지시설) 점자도서관,강서구,"서울특별시 강서구 공항대로 206, 801~803호 (마곡동)","서울특별시 강서구 공항대로 206, 801803호",37.5588934901654,126.830272839065
햇빛사회서비스지원센터,C0303941604,(장애인복지시설) 장애인재활치료시설,강동구,"서울특별시 강동구 양재대로 1597, 2층 (천호동)","서울특별시 강동구 양재대로 1597, 2층",37.5482126302871,127.143202703444
성동나래주간보호센터,C0608172183,(장애인복지시설) 장애인주간보호시설,성동구,"서울특별시 성동구 마장로 318, 1~2층 (마장동)","서울특별시 성동구 마장로 318, 12층",37.5670075075215,127.044707553351
서울시농아노인지원센터,C0609545237,(장애인복지시설) 장애인주간보호시설,강서구,"서울특별시 강서구 마곡중앙로 55, 6층 603, 604호호 (마곡동, 문영퀸즈파크13)","서울특별시 강서구 마곡중앙로 55, 6층 603, 604호호",37.5586163657293,126.826261533211
강북구수어통역센터,C0793,(장애인복지시설) 수어(수화)통역센터,강북구,"서울특별시 강북구 도봉로 388, 5층 (번동, 테마빌딩)","서울특별시 강북구 도봉로 388, 5층",37.6413563761545,127.029629106136
