학교명,관할조직명,도로명주소,정제주소,lat,lon
서울서진학교,서울특별시교육청,서울특별시 강서구 양천로55길 22,서울특별시 강서구 양천로55길 22,37.56547682,126.8506223
서울도솔학교,서울특별시교육청,서울특별시 도봉구 평화로15번길 9-26,서울특별시 도봉구 평화로15번길 9-26,37.6948405,127.0424767
서울나래학교,서울특별시교육청,서울특별시 서초구 염곡안1길 25,서울특별시 서초구 염곡안1길 25,37.46402498,127.0514985
서울새롬학교,서울특별시교육청,서울특별시 관악구 보라매로 44,서울특별시 관악구 보라매로 44,37.49316847,126.9273716
서울효정학교,서울특별시교육청,서울특별시 강북구 삼양로63길 33,서울특별시 강북구 삼양로63길 33,37.62712954,127.0162222
서울다원학교,서울특별시교육청,서울특별시 성북구 성북로31길 5-15,서울특별시 성북구 성북로31길 5-15,37.59394051,126.9913605
누리학교,서울특별시교육청,서울특별시 동작구 상도로 53,서울특별시 동작구 상도로 53,37.49997351,126.9265216
연세대학교재활학교,서울특별시교육청,서울특별시 서대문구 연세로 50,서울특별시 서대문구 연세로 50,37.56605084,126.9439162
수도사랑의학교,서울특별시교육청,서울특별시 종로구 사직로7길 17,서울특별시 종로구 사직로7길 17,37.57478221,126.9652331
은평대영학교,서울특별시교육청,서울특별시 은평구 갈현로11길 30,서울특별시 은평구 갈현로11길 30,37.60561276,126.9063428
서울동천학교,서울특별시교육청,서울특별시 노원구 노원로18길 41,서울특별시 노원구 노원로18길 41,37.64451236,127.0729257
한빛맹학교,서울특별시교육청,서울특별시 강북구 삼양로73가길 47,서울특별시 강북구 삼양로73가길 47,37.62789211,127.0157138
교남학교,서울특별시교육청,서울특별시 강서구 까치산로22길 38,서울특별시 강서구 까치산로22길 38,37.54797109,126.852349
서울경운학교,서울특별시교육청,서울특별시 종로구 삼일대로 454,서울특별시 종로구 삼일대로 454,37.57506182,126.9874209
서울정민학교,서울특별시교육청,서울특별시 노원구 공릉로58길 24,서울특별시 노원구 공릉로58길 24,37.63389599,127.0731666
광성하늘빛학교,서울특별시교육청,서울특별시 송파구 올림픽로 625,서울특별시 송파구 올림픽로 625,37.53738132,127.1222355
서울정인학교,서울특별시교육청,서울특별시 강북구 인수봉로 119-20,서울특별시 강북구 인수봉로 119-20,37.63095681,127.0119238
서울정애학교,서울특별시교육청,서울특별시 강남구 봉은사로81길 16,서울특별시 강남구 봉은사로81길 16,37.51432622,127.0544003
서울광진학교,서울특별시교육청,서울특별시 광진구 강변역로 18,서울특별시 광진구 강변역로 18,37.53766749,127.0915615
한국육영학교,서울특별시교육청,서울특별시 송파구 충민로6길 15,서울특별시 송파구 충민로6길 15,37.48207093,127.1327564
한국구화학교,서울특별시교육청,서울특별시 강동구 고덕로 295-59,서울특별시 강동구 고덕로 295-59,37.55825782,127.1589948
주몽학교,서울특별시교육청,서울특별시 강동구 상암로 369,서울특별시 강동구 상암로 369,37.54619875,127.1633757
성베드로학교,서울특별시교육청,서울특별시 구로구 연동로 320,서울특별시 구로구 연동로 320,37.4875236,126.8261635
서울애화학교,서울특별시교육청,서울특별시 강북구 솔매로52길 31,서울특별시 강북구 솔매로52길 31,37.62524951,127.0290573
서울삼성학교,서울특별시교육청,서울특별시 동작구 양녕로30길 19-4,서울특별시 동작구 양녕로30길 19-4,37.49919802,126.9466724
밀알학교,서울특별시교육청,서울특별시 강남구 일원로 90,서울특별시 강남구 일원로 90,37.48578186,127.0820718
다니엘학교,서울특별시교육청,서울특별시 서초구 헌릉로468길 21-16,서울특별시 서초구 헌릉로468길 21-16,37.4601639,127.0923191
서울정문학교,서울특별시교육청,서울특별시 관악구 난향3길 31,서울특별시 관악구 난향3길 31,37.46171259,126.9169516
서울정진학교,서울특별시교육청,서울특별시 구로구 부일로9길 158,서울특별시 구로구 부일로9길 158,37.49881449,126.8207519
한국우진학교,교육부,서울특별시 마포구 월드컵북로38길 21,서울특별시 마포구 월드컵북로38길 21,37.57112292,126.9038429
서울농학교,교육부,서울특별시 종로구 필운대로 103,서울특별시 종로구 필운대로 103,37.58500684,126.9693507
서울맹학교,교육부,서울특별시 종로구 필운대로 97,서울특별시 종로구 필운대로 97,37.58477269,126.9677618
