사업체명,관할지사,소재지,정제주소,lat,lon
㈜오피스메카,서울지역본부,"서울특별시 용산구 청파로 77, 6동 1층 23호(원효로3가, 원효전자상가)","서울특별시 용산구 청파로 77, 6동 1층 23호(원효로3가, 원효전자상가)",37.5336635526062,126.960642404006
㈜그린주의,서울북부지사,"서울특별시 중랑구 신내역로3길 40-36, A동 1층 R106호(신내동, 신내데시앙플랙스지식산업센터)","서울특별시 중랑구 신내역로3길 40-36, A동 1층 R106호(신내동, 신내데시앙플랙스지식산업센터)",37.6176037664034,127.104063484063
(사)한국장애인문인복지후원회,서울지역본부,"서울특별시 중구 서애로5길 15(필동3가, 호산나빌딩)","서울특별시 중구 서애로5길 15(필동3가, 호산나빌딩)",37.559555871091,126.997290254667
㈜더사랑,서울북부지사,"서울특별시 중랑구 신내역로3길 40-36, B동 OB103호","서울특별시 중랑구 신내역로3길 40-36, B동 OB103호",37.6176037664034,127.104063484063
(사)해든,서울남부지사,"서울특별시 금천구 가산디지털1로 119, 비동 212호(가산동,SK트윈테크타워)","서울특별시 금천구 가산디지털1로 119, 비동 212호(가산동,SK트윈테크타워)",37.4760631854134,126.882925390269
㈜제일과동행,서울남부지사,"서울특별시 금천구 벚꽃로 254, 1207호 (가산동, 월드메르디앙벤쳐센터)","서울특별시 금천구 벚꽃로 254, 1207호 (가산동, 월드메르디앙벤쳐센터)",37.4777630224027,126.88549272849
㈜아름다운사람,서울남부지사,"서울특별시 금천구 범안로 15길 73, 3층","서울특별시 금천구 범안로 15길 73, 3층",37.4698464758658,126.891797406473
㈜조은프로소싱,서울남부지사,"서울특별시 영등포구 선유로 70, 3층 301호(문래동3가, 우리벤처타운2)","서울특별시 영등포구 선유로 70, 3층 301호(문래동3가, 우리벤처타운2)",37.5201626485833,126.890145748505
㈜제니엘플러스,서울남부지사,"서울특별시 영등포구 당산로 41길 11, 1403호(당산동4가, 당산 에스케이브이1 센터)","서울특별시 영등포구 당산로 41길 11, 1403호(당산동4가, 당산 에스케이브이1 센터)",37.5308112501685,126.898319035004
오픈핸즈㈜,서울동부지사,"서울특별시 송파구 올림픽로35길 123, 16층(신천동, 향군타워)","서울특별시 송파구 올림픽로35길 123, 16층(신천동, 향군타워)",37.5165777895252,127.101225932288
재단법인 행복아이씨티,서울북부지사,"서울특별시 성동구 성수일로6길 33, 2층(성수동2가, 아연디지털타워)","서울특별시 성동구 성수일로6길 33, 2층(성수동2가, 아연디지털타워)",37.544778448846,127.053800602326
(사)아름다운사람들,서울북부지사,"서울특별시 성동구 뚝섬로1길 25, 서울특별시숲 한라에코벨리 702호","서울특별시 성동구 뚝섬로1길 25, 서울특별시숲 한라에코벨리 702호",37.5436380420167,127.046396018851
㈜커피지아,서울동부지사,"서울특별시 강남구 논현로 16길 9, 1층","서울특별시 강남구 논현로 16길 9, 1층",37.476322472756,127.047053497858
㈜케이앤씨가람,서울남부지사,"서울특별시 금천구 가산디지털1로 128, B110호 (가산동, 에스티엑스브이타워)","서울특별시 금천구 가산디지털1로 128, B110호 (가산동, 에스티엑스브이타워)",37.4772365189989,126.883695161966
(사)장애인인권센터,서울남부지사,"서울특별시 영등포구 선유로49길 23, 1509호","서울특별시 영등포구 선유로49길 23, 1509호",37.5361864712485,126.895059294005
(사)한국나눔복지연합회,서울지역본부,"서울특별시 중구 창경궁로1길 8, 1,2층(충무로4가)","서울특별시 중구 창경궁로1길 8, 1,2층(충무로4가)",37.5632364468045,126.997472915365
㈜케이두레,서울남부지사,"서울특별시 강서구 강서로 468, 7층 701호(등촌동, 테크노타워)","서울특별시 강서구 강서로 468, 7층 701호(등촌동, 테크노타워)",37.5671848166792,126.841489818891
㈜컴트리,서울남부지사,"서울특별시 금천구 가산디지털1로 30, 1712호","서울특별시 금천구 가산디지털1로 30, 1712호",37.46880404424,126.887495831099
(사)한국장애인상생복지회,서울남부지사,"서울특별시 금천구 가산디지털1로 24, 제지1층제비102호, 제비103호(가산동, 대륭테크노타운13차)","서울특별시 금천구 가산디지털1로 24, 제지1층제비102호, 제비103호(가산동, 대륭테크노타운13차)",37.4684160473591,126.887662358171
㈜링키지랩,서울북부지사,"서울특별시 성동구 성수일로6길 33, 3층(성수동2가, 아연디지털타워)","서울특별시 성동구 성수일로6길 33, 3층(성수동2가, 아연디지털타워)",37.544778448846,127.053800602326
㈜네오누리콤,서울남부지사,"서울특별시 금천구 가산디지털1로 119(가산동, 에스케이트윈테크타워 제3층 제에이303,304호)","서울특별시 금천구 가산디지털1로 119(가산동, 에스케이트윈테크타워 제3층 제에이303,304호)",37.4760631854134,126.882925390269
(사)남북장애인교류협회,서울남부지사,"서울특별시 영등포구 경인로82길 3-4, 1105호(문래동1가, 센터플러스)","서울특별시 영등포구 경인로82길 3-4, 1105호(문래동1가, 센터플러스)",37.5120642984872,126.896894656994
(사)장애인동반성장협회,서울남부지사,"서울특별시 금천구 가산디지털1로 33-33(가산동, 대륭테크노타운2차505-2호)","서울특별시 금천구 가산디지털1로 33-33(가산동, 대륭테크노타운2차505-2호)",37.4684624277845,126.884647231561
㈜행복마루,서울지역본부,"서울특별시 마포구 매봉산로 75, 12층(상암동, DDMC빌딩)","서울특별시 마포구 매봉산로 75, 12층(상암동, DDMC빌딩)",37.5784518308273,126.892899428472
㈜모두락,서울남부지사,"서울특별시 강서구 하늘길 70 1층 L103-2호(과해동, 항공지원센터)","서울특별시 강서구 하늘길 70 1층 L103-2호(과해동, 항공지원센터)",37.5619975959387,126.796364852789
꿈더하기 사회적협동조합,서울남부지사,"서울특별시 영등포구 선유로3길 10, 106호, 405호 (문래동5가, 하우스디 비즈)","서울특별시 영등포구 선유로3길 10, 106호, 405호 (문래동5가, 하우스디 비즈)",37.5161003058556,126.886815410375
㈜크리앤조이,서울남부지사,"서울특별시 금천구 가마산로 72(가산동, 신화빌딩)","서울특별시 금천구 가마산로 72(가산동, 신화빌딩)",37.4849670904198,126.874544547722
㈜뉴딘파스텔,서울동부지사,"서울특별시 강남구 영동대로 735(청담동, 골프존타워서울)","서울특별시 강남구 영동대로 735(청담동, 골프존타워서울)",37.5233959825056,127.054597367919
㈜두루행복한세상,서울지역본부,"서울특별시 중구 퇴계로 235, 218호(충무로4가, 남산센트럴 자이)","서울특별시 중구 퇴계로 235, 218호(충무로4가, 남산센트럴 자이)",37.562514395202,126.997824376224
